FK_Tempo;FK_Transporte;qtd_peregrinos
200401;1;599.0
200402;1;1325.0
200403;1;2864.0
200404;1;14172.0
200405;1;14312.0
200406;1;15632.0
200407;1;28124.0
200408;1;39977.0
200409;1;19312.0
200410;1;12951.0
200411;1;4066.0
200412;1;3555.0
200501;1;244.0
200502;1;539.0
200503;1;2790.0
200504;1;2968.0
200505;1;7348.0
200506;1;9560.0
200507;1;15810.0
200508;1;19766.0
200509;1;9807.0
200510;1;5953.0
200511;1;1269.0
200512;1;621.0
200601;1;299.0
200602;1;329.0
200603;1;1020.0
200604;1;6289.0
200605;1;8254.0
200606;1;9850.0
200607;1;15732.0
200608;1;20856.0
200609;1;10687.0
200610;1;6681.0
200611;1;1574.0
200612;1;782.0
200701;1;322.0
200702;1;638.0
200703;1;1530.0
200704;1;6795.0
200705;1;10701.0
200706;1;11999.0
200707;1;16959.0
200708;1;21899.0
200709;1;12306.0
200710;1;8118.0
200711;1;2230.0
200712;1;744.0
200801;1;288.0
200802;1;657.0
200803;1;4665.0
200804;1;4815.0
200805;1;12799.0
200806;1;12576.0
200807;1;18085.0
200808;1;24192.0
200809;1;14088.0
200810;1;8754.0
200811;1;2112.0
200812;1;991.0
200901;1;490.0
200902;1;636.0
200903;1;1590.0
200904;1;8875.0
200905;1;13398.0
200906;1;15423.0
200907;1;22551.0
200908;1;28808.0
200909;1;16817.0
200910;1;10141.0
200911;1;2133.0
200912;1;884.0
201001;1;1122.0
201002;1;1533.0
201003;1;5466.0
201004;1;17293.0
201005;1;24648.0
201006;1;27891.0
201007;1;37649.0
201008;1;53688.0
201009;1;31665.0
201010;1;23746.0
201011;1;7505.0
201012;1;5638.0
201101;1;610.0
201102;1;750.0
201103;1;2472.0
201104;1;12304.0
201105;1;16687.0
201106;1;19806.0
201107;1;26081.0
201108;1;34064.0
201109;1;21518.0
201110;1;14187.0
201111;1;3264.0
201112;1;1328.0
201201;1;810.0
201202;1;1221.0
201203;1;2932.0
201204;1;12753.0
201205;1;18598.0
201206;1;20853.0
201207;1;28690.0
201208;1;34557.0
201209;1;23266.0
201210;1;15897.0
201211;1;3778.0
201212;1;1394.0
201301;1;760.0
201302;1;1260.0
201303;1;6681.0
201304;1;9865.0
201305;1;22038.0
201306;1;24144.0
201307;1;32356.0
201308;1;40415.0
201309;1;26768.0
201310;1;17836.0
201311;1;4516.0
201312;1;1548.0
201401;1;862.0
201402;1;945.0
201403;1;2877.0
201404;1;15442.0
201405;1;24075.0
201406;1;28274.0
201407;1;35640.0
201408;1;44918.0
201409;1;30314.0
201410;1;21371.0
201411;1;4488.0
201412;1;1733.0
201501;1;1158.0
201502;1;1468.0
201503;1;4806.0
201504;1;16180.0
201505;1;27088.0
201506;1;31442.0
201507;1;41161.0
201508;1;49194.0
201509;1;33588.0
201510;1;23785.0
201511;1;4923.0
201512;1;1911.0
201601;1;1274.0
201602;1;1648.0
201603;1;10348.0
201604;1;13854.0
201605;1;29790.0
201606;1;34758.0
201607;1;42047.0
201608;1;48661.0
201609;1;36557.0
201610;1;26341.0
201611;1;6061.0
201612;1;2686.0
201701;1;1299.0
201702;1;1639.0
201703;1;4902.0
201704;1;24845.0
201705;1;32377.0
